name,common_name,ra_hours,dec_deg,dist_ly,spectral,vmag,notable,category,x,y,z,color
Sun,Sun,0.0,0.0,0.0,G2V,-26.7,True,sun,0.0,0.0,0.0,#fff4ea
Proxima Centauri,Proxima Centauri,14.4956,-62.6794,4.246,M5.5Ve,11.13,True,planet-host,-1.5474,-1.1846,-3.7724,#ffb56c
Alpha Centauri A,Rigil Kentaurus,14.6601,-60.834,4.344,G2V,0.01,True,named,-1.6241,-1.358,-3.7932,#fff4ea
Alpha Centauri B,Toliman,14.6601,-60.837,4.344,K1V,1.33,True,named,-1.6239,-1.3579,-3.7933,#ffd2a1
Barnard's Star,Barnard's Star,17.9634,4.6933,5.963,M4.0Ve,9.53,True,planet-host,-0.0569,-5.9427,0.4879,#ffb56c
Wolf 359,Wolf 359,10.9385,7.0144,7.856,M6.0V,13.54,True,nearest,-7.4981,2.1391,0.9594,#ffb56c
Lalande 21185,Lalande 21185,11.0556,35.9698,8.307,M2.0V,7.52,True,planet-host,-6.5186,1.6454,4.8792,#ffb56c
Sirius A,Sirius,6.7525,-16.7161,8.601,A1V,-1.46,True,named,-1.6124,8.0782,-2.4739,#cad7ff
Sirius B,Sirius B,6.7525,-16.7161,8.601,DA2,8.44,True,white-dwarf,-1.6124,8.0782,-2.4739,#e8f0ff
Luyten 726-8 A,BL Ceti,1.6492,-17.9572,8.728,M5.5V,12.54,False,nearest,7.5409,3.4745,-2.6909,#ffb56c
Luyten 726-8 B,UV Ceti,1.6492,-17.9572,8.728,M6.0V,12.99,False,nearest,7.5409,3.4745,-2.6909,#ffb56c
Ross 154,Ross 154,18.8311,-23.8367,9.706,M3.5Ve,10.43,False,nearest,1.9165,-8.6688,-3.9225,#ffb56c
Ross 248,Ross 248,23.6979,44.1772,10.3,M5.0V,12.29,False,nearest,7.3639,-0.5836,7.1779,#ffb56c
Epsilon Eridani,Ran,3.5483,-9.4583,10.475,K2V,3.73,True,planet-host,6.1859,8.2763,-1.7214,#ffd2a1
Lacaille 9352,Lacaille 9352,23.0983,-35.8531,10.742,M0.5V,7.34,True,planet-host,8.4652,-2.0363,-6.2917,#ffb56c
Ross 128,Ross 128,11.7975,0.8003,11.007,M4.0V,11.13,True,planet-host,-10.9905,0.5832,0.1537,#ffb56c
EZ Aquarii A,EZ Aquarii,22.6431,-15.2961,11.103,M5.0V,13.33,False,nearest,10.041,-3.7249,-2.9291,#ffb56c
61 Cygni A,61 Cygni A,21.1075,38.7508,11.403,K5.0V,5.21,True,named,6.4627,-6.1088,7.1375,#ffd2a1
61 Cygni B,61 Cygni B,21.11,38.7419,11.403,K7.0V,6.03,True,named,6.4675,-6.1053,7.1361,#ffd2a1
Procyon A,Procyon,7.655,5.225,11.464,F5IV-V,0.34,True,named,-4.7931,10.3614,1.044,#f8f7ff
